river,river_distance_m
Kwethluk River,236365
Buskin,6571
Pasagshak,2238
Tuluksak River weir,253780
Anan Creek,
Auke Creek,500
Chilkoot Lake,1141
Hugh Smith,
Kadashan East,
Sashin Creek,42
Situk Lower,3165
East Fork Andreafsky River,208635
First Karymaisky Spring,
Afognak River Litnik,
Ayakulik,
Coghill River,4047
Bear River,25536
Chignik River,7774
Deshka,
Dog Salmon River,
Fish Creek,5502
George River,476744
Goodnews River,16385
Ilnik River,2113
Kanektok River,68968
Nelson River Sapsuk,20691
North River,
Nushagak River,78316
Olga Creek Upper Station,40
Orzinski Lake,1833
Salmon River,415570
Sandy River,29290
Tatlawiksuk River,575316
Unalakleet River,
Wasilla Creek,9865
Willow Creek,
Yukon River Pilot Station,197708
Babine,422772
Karluk,5005
Litnik,1163
Nass Gitwinksihlkw,55094
Kulukak,
Yukon River Anvik River,537810
Kogrukluk River,743602
Little Susitna,
Pauls Bay River,
Saltery Creek,